timestamp,datetime,type,ssid_name,mac,rssi_dbm,distance_m,level,whitelisted
1779744089.7193556,2026-05-25 16:21:29,WIFI,WILLIANS,EA:4D:74:53:55:78,-42,0.23,CRITICAL,False
1779744089.7863646,2026-05-25 16:21:29,WIFI,W10,18:D6:C7:E0:C1:FE,-77,4.64,WARNING,False
1779744093.5122762,2026-05-25 16:21:33,WIFI,WILLIANS,EA:4D:74:53:55:78,-47,0.36,CRITICAL,False
1779744093.53542,2026-05-25 16:21:33,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False
1779744097.5147324,2026-05-25 16:21:37,WIFI,WILLIANS,EA:4D:74:53:55:78,-54,0.65,CRITICAL,False
1779744097.5312965,2026-05-25 16:21:37,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False
1779744101.5036352,2026-05-25 16:21:41,WIFI,WILLIANS,EA:4D:74:53:55:78,-53,0.6,CRITICAL,False
1779744101.5066357,2026-05-25 16:21:41,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False
1779744105.5344253,2026-05-25 16:21:45,WIFI,WILLIANS,EA:4D:74:53:55:78,-52,0.55,CRITICAL,False
1779744105.5555174,2026-05-25 16:21:45,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False
1779744109.499123,2026-05-25 16:21:49,WIFI,WILLIANS,EA:4D:74:53:55:78,-55,0.71,CRITICAL,False
1779744109.50164,2026-05-25 16:21:49,WIFI,W10,18:D6:C7:E0:C1:FE,-73,3.3,WARNING,False
1779744117.5199919,2026-05-25 16:21:57,WIFI,WILLIANS,EA:4D:74:53:55:78,-52,0.55,CRITICAL,False
1779744117.555462,2026-05-25 16:21:57,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False
1779744121.526421,2026-05-25 16:22:01,WIFI,WILLIANS,EA:4D:74:53:55:78,-53,0.6,CRITICAL,False
1779744121.5391426,2026-05-25 16:22:01,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False
1779744125.5448549,2026-05-25 16:22:05,WIFI,WILLIANS,EA:4D:74:53:55:78,-48,0.39,CRITICAL,False
1779744125.5606232,2026-05-25 16:22:05,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False
1779744129.5332978,2026-05-25 16:22:09,WIFI,WILLIANS,EA:4D:74:53:55:78,-53,0.6,CRITICAL,False
1779744129.565303,2026-05-25 16:22:09,WIFI,W10,18:D6:C7:E0:C1:FE,-73,3.3,WARNING,False
1779744133.5532877,2026-05-25 16:22:13,WIFI,WILLIANS,EA:4D:74:53:55:78,-64,1.53,CRITICAL,False
1779744133.5552123,2026-05-25 16:22:13,WIFI,W10,18:D6:C7:E0:C1:FE,-73,3.3,WARNING,False
1779744137.5492241,2026-05-25 16:22:17,WIFI,WILLIANS,EA:4D:74:53:55:78,-60,1.09,CRITICAL,False
1779744137.5695872,2026-05-25 16:22:17,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False
1779744141.575717,2026-05-25 16:22:21,WIFI,WILLIANS,EA:4D:74:53:55:78,-49,0.43,CRITICAL,False
1779744141.5796306,2026-05-25 16:22:21,WIFI,W10,18:D6:C7:E0:C1:FE,-72,3.03,WARNING,False
1779744145.5378678,2026-05-25 16:22:25,WIFI,WILLIANS,EA:4D:74:53:55:78,-44,0.28,CRITICAL,False
1779744145.5398612,2026-05-25 16:22:25,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False
